PublishTime,ListNumber,Writer,RealBookPrice,EBookPrice,Discount,BookUrl,BookName,NowBookPrice,Publisher,Tuijian
2011-04-01,398.,索甲仁波切郑振煌,¥39.80,,6.8折,http://product.dangdang.com/21053526.html,西藏生死书,¥27.00,浙江大学出版社,99.6%推荐
2009-12-01,399.,米拦弗特毕沃琪顿漪然,¥188.00,,5.9折,http://product.dangdang.com/20812025.html,暖暖心绘本（全四辑19本）,¥110.90,湖南少儿出版社,99.8%推荐
2016-03-01,400.,宋鸿兵,¥138.00,,6.9折,http://product.dangdang.com/23923752.html,货币战争系列3册套装,¥95.20,长江文艺出版社,99.3%推荐
2008-08-01,172.,卡尔,¥39.80,,6.5折,http://product.dangdang.com/20263101.html,好饿的毛毛虫,¥25.90,明天出版社,99.2%推荐
2015-05-01,173.,商务印书馆辞书研究中心,¥79.90,,6.5折,http://product.dangdang.com/23711299.html,新华成语词典 第2版,¥52.00,商务印书馆,99.7%推荐
2009-03-01,174.,刘震云,¥29.80,,7.5折,http://product.dangdang.com/20531063.html,一句顶一万句,¥22.40,长江文艺出版社,0%推荐
2016-05-01,175.,朗达拜恩RhondaByrne,¥42.00,,7.7折,http://product.dangdang.com/23973546.html,力量（修订版）,¥32.30,湖南文艺出版社,100.0%推荐
2015-06-01,176.,哥伦马尔克斯杨玲,¥49.50,,7.5折,http://product.dangdang.com/23716798.html,霍乱时期的爱情（2015版）,¥37.10,南海出版社,99.7%推荐
2008-04-01,177.,郭敬明,¥23.00,,7.5折,http://product.dangdang.com/20177567.html,幻城,¥17.30,长江文艺出版社,98.9%推荐
2002-02-01,178.,史蒂芬·霍金,¥45.00,,6.9折,http://product.dangdang.com/463785.html,时间简史（插图本）,¥31.10,湖南科技出版社,99.2%推荐
2007-01-01,179.,唐晋,¥56.00,,6.9折,http://product.dangdang.com/9239276.html,大国崛起(以历史的眼光和全球的视野解读15世纪以来9个世界性大国,¥38.50,人民出版社,98.7%推荐
2015-05-01,180.,刘乃进,¥68.00,¥40.79,7.7折,http://product.dangdang.com/23692650.html,私募股权基金筹备、运营与管理：法律实务与操作细节,¥52.50,法律出版社,0%推荐
2015-03-01,141.,曹文轩,¥25.00,,5.3折,http://product.dangdang.com/23662022.html,草房子,¥13.20,天天出版社有限责任公司,99.7%推荐
